Data,Propostas_B2C_Total,Emissoes_B2C_Total,%_Conversao_B2C,Observacoes
01/01/2025,2146,32,1.49%,
02/01/2025,3162,69,2.18%,
03/01/2025,3090,63,2.04%,
04/01/2025,2373,46,1.94%,
05/01/2025,2482,51,2.05%,
06/01/2025,2977,75,2.52%,
07/01/2025,3216,69,2.15%,
08/01/2025,2731,56,2.05%,
09/01/2025,2597,59,2.27%,
10/01/2025,2479,66,2.66%,
11/01/2025,2386,51,2.14%,
12/01/2025,2350,46,1.96%,
13/01/2025,2715,64,2.36%,
14/01/2025,2886,60,2.08%,
15/01/2025,2790,54,1.94%,
16/01/2025,2653,55,2.07%,
17/01/2025,2311,60,2.60%,
18/01/2025,1572,50,3.18%,
19/01/2025,1466,36,2.46%,
20/01/2025,1929,113,5.86%,Campanha Swapin - problema envio base
21/01/2025,2253,241,10.70%,Alteração filtro eCred idade máxima 85 anos / Reenvio Swapin
22/01/2025,2058,112,5.44%,Alteração descrição Cartão eCred
23/01/2025,2461,107,4.35%,Campanha leads não encontrados Serasa
24/01/2025,2369,64,2.70%,Alteração grupo G3 ponto de corte
25/01/2025,1840,65,3.53%,
26/01/2025,1595,57,3.57%,
27/01/2025,2255,98,4.35%,Nova versão app disponibilizada
28/01/2025,2192,83,3.79%,
29/01/2025,2295,80,3.49%,
30/01/2025,2040,72,3.53%,
31/01/2025,1937,73,3.77%,
01/02/2025,1577,54,3.42%,
02/02/2025,1416,44,3.11%,
03/02/2025,2395,56,2.34%,Envio campanhas leads parados no funil
04/02/2025,2280,73,3.20%,
05/02/2025,1981,57,2.88%,
06/02/2025,1846,68,3.68%,
07/02/2025,1925,55,2.86%,Problemas app diversos
08/02/2025,1704,50,2.93%,
09/02/2025,1732,60,3.46%,
10/02/2025,2210,90,4.07%,Retomada campanhas barril
11/02/2025,2424,81,3.34%,Retomada campanhas barril
12/02/2025,2203,71,3.22%,
13/02/2025,2115,73,3.45%,
14/02/2025,2273,68,2.99%,Disparo bases quod repescagem
15/02/2025,1830,64,3.50%,
16/02/2025,1563,59,3.77%,
17/02/2025,2194,80,3.65%,Disparo bases barril e leads Serasa
18/02/2025,2353,80,3.40%,
19/02/2025,2253,72,3.20%,
20/02/2025,2434,67,2.75%,
21/02/2025,1936,12,0.62%,App com problema - propostas sem batidas no motor
22/02/2025,1699,4,0.24%,App com problema - propostas sem batidas no motor
23/02/2025,1484,0,0.00%,App com problema - propostas sem batidas no motor
24/02/2025,1796,38,2.12%,Correção do app por volta das 19h
25/02/2025,2418,78,3.23%,
26/02/2025,2293,105,4.58%,Início Feirão Serasa
27/02/2025,2134,91,4.26%,
28/02/2025,1869,69,3.69%,App com problema - corrigido mesmo dia
01/03/2025,1451,37,2.55%,
02/03/2025,1368,31,2.27%,
03/03/2025,1667,57,3.42%,Envio campanhas leads parados no funil com problema semana anterior
04/03/2025,1686,43,2.55%,
05/03/2025,1915,65,3.39%,
06/03/2025,3113,139,4.47%,Subida 90% audiência Serasa
07/03/2025,3679,238,6.47%,
08/03/2025,2528,108,4.27%,
09/03/2025,2323,100,4.30%,
10/03/2025,3312,147,4.44%,
11/03/2025,3012,116,3.85%,Envio régua Platinum barril
12/03/2025,3183,122,3.83%,
13/03/2025,2872,102,3.55%,Quod desligada das 06h às 07h para manutenção
14/03/2025,4026,97,2.41%,
15/03/2025,2608,74,2.84%,
16/03/2025,2016,64,3.17%,
17/03/2025,2712,102,3.76%,Envio régua Platinum barril
18/03/2025,1975,52,2.63%,Subida novos filtros Serasa
19/03/2025,1948,48,2.46%,
20/03/2025,2763,47,1.70%,
21/03/2025,3150,78,2.48%,Rollback novos filtros
22/03/2025,3353,124,3.70%,
23/03/2025,2488,109,4.38%,
24/03/2025,3465,112,3.23%,
