Disparado?;Jornada;Activity name / Taxonomia;Canal;Data de Disparo;Data Fim;Safra;BU;Parceiro;SIGLA;Segmento;SIGLA;Subgrupos;Base Total;Base Acionável;% Otimização de base;Etapa de aquisição;Ordem de disparo;Perfil de Crédito;Produto;Oferta;Promocional;SIGLA;Oferta 2;Promocional 2;Custo Unitário Oferta;Custo Total da Oferta;Custo unitário do canal;Custo total canal;Taxa de Entrega;Taxa de Abertura ;Taxa de Clique;Taxa de Proposta;Taxa de Aprovação;Taxa de Finalização;Taxa de Conversão;Custo Total Campanha;CAC;Cartões Gerados;Aprovados;Propostas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvchurn1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Churn;59533;35604;59,81%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 30,80;60%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 30,80;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvfreq+rec1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Frequentes;35351;20308;57,45%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 17,57;57%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 17,57;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvchurn1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Churn;22932;11301;49,28%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 9,78;49%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 9,78;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvnovoexp1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Novos;12339;6429;52,10%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 5,56;52%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 5,56;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvfreq+rec1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Frequentes;5769;3115;54,00%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 2,69;54%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 2,69;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvnovoexp1_diario;E-mail;23/05/2025;25/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Novos;1322;653;49,39%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 0,56;49%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 0,56;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvchurn2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Churn;58741;21276;36,22%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 18,40;36%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 18,40;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvfreq+rec2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Frequentes;34809;12078;34,70%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 10,45;35%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 10,45;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_SUPERPÃO_SEMANA1;afz_aqs_pao_reg_cart_email_rfvchurn2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Churn;19943;6768;33,94%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 5,85;34%;N/A;N/A;0,00%;0,00%;0,00%;0,00%;R$ 5,85;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sim;JOR_AQUISICAO_PLURIX_RFV_BOA_SEMANA1;afz_aqs_boa_reg_cart_email_rfvnovoexp2_diario;E-mail;27/05/2025;29/05/2025;mai/25;Plurix;N/A;N/A;CRM;CRM;Frequentes;12133;3626;29,89%;Aquisicao;1;Pre_analisado;Classic;Padrao;N/A;N/A;Padrao;N/A;R$ 0,00;R$ 0,00;R$ 0,001;R$ 3,14;30%;59,17%;0,00%;0,00%;0,00%;0,00%;0,00%;R$ 3,14;R$ 0,00;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
